#https://docs.posit.co/connect/news/
version,date,cve
2024.02.0,2024-02-27,CVE-2023-7104
2024.01.0,2024-01-25,CVE-2023-48795
2024.01.0,2024-01-25,CVE-2023-45683
2023.12.0,2023-12-18,CVE-2023-45283
2023.12.0,2023-12-18,CVE-2023-45284
2023.12.0,2023-12-18,CVE-2023-39326
2023.12.0,2023-12-18,CVE-2023-45285
2023.10.0,2023-10-31,CVE-2023-39323
2023.10.0,2023-10-31,CVE-2023-39325
2023.10.0,2023-10-31,CVE-2023-44487
2023.09.0,2023-09-23,CVE-2023-29409
2023.09.0,2023-09-23,CVE-2023-39318
2023.09.0,2023-09-23,CVE-2023-39319
2023.09.0,2023-09-23,CVE-2023-39320
2023.09.0,2023-09-23,CVE-2023-39321
2023.09.0,2023-09-23,CVE-2023-39322
2023.09.0,2023-09-23,CVE-2023-26117
2023.09.0,2023-09-23,CVE-2023-26116
2023.09.0,2023-09-23,CVE-2023-26118
2023.07.0,2023-07-27,CVE-2023-29406
2023.06.0,2023-06-26,CVE-2023-29401
2023.06.0,2023-06-26,CVE-2023-29402
2023.06.0,2023-06-26,CVE-2023-29403
2023.06.0,2023-06-26,CVE-2023-29404
2023.06.0,2023-06-26,CVE-2023-29405
2023.05.0,2023-05-10,CVE-2023-24537
2023.05.0,2023-05-10,CVE-2023-24538
2023.05.0,2023-05-10,CVE-2023-24534
2023.05.0,2023-05-10,CVE-2023-24536
2023.05.0,2023-05-10,CVE-2023-28119
2023.05.0,2023-05-10,CVE-2022-41912
2023.05.0,2023-05-10,CVE-2023-24539
2023.05.0,2023-05-10,CVE-2023-24540
2023.05.0,2023-05-10,CVE-2023-29400
2023.05.0,2023-05-10,CVE-2023-26125
2023.03.0,2023-03-13,CVE-2022-41722
2023.03.0,2023-03-13,CVE-2022-41725
2023.03.0,2023-03-13,CVE-2022-41724
2023.03.0,2023-03-13,CVE-2022-41723
2023.03.0,2023-03-13,CVE-2023-24532
2023.01.0,2023-01-25,CVE-2022-35737
2022.12.0,2022-12-10,CVE-2022-0536
2022.12.0,2022-12-10,CVE-2022-41720
2022.12.0,2022-12-10,CVE-2022-41717
2022.11.0,2022-11-16,CVE-2022-25844
2022.11.0,2022-11-16,CVE-2022-25869
2022.11.0,2022-11-16,CVE-2022-41716
2022.10.0,2022-10-26,CVE-2022-2879
2022.10.0,2022-10-26,CVE-2022-2879
2022.10.0,2022-10-26,CVE-2022-41715
2022.10.0,2022-10-26,CVE-2022-32149
2022.09.0,2022-09-13,CVE-2022-28948
2022.09.0,2022-09-13,CVE-2022-28948
2022.09.0,2022-09-13,CVE-2022-32190
2022.08.1,2022-08-25,
2022.08.0,2022-08-17,CVE-2022-32189
2022.07.0,2022-07-21,CVE-2022-1705
2022.07.0,2022-07-21,CVE-2022-32148
2022.07.0,2022-07-21,CVE-2022-30631
2022.07.0,2022-07-21,CVE-2022-30633
2022.07.0,2022-07-21,CVE-2022-28131
2022.07.0,2022-07-21,CVE-2022-30635
2022.07.0,2022-07-21,CVE-2022-30632
2022.07.0,2022-07-21,CVE-2022-30630
2022.07.0,2022-07-21,CVE-2022-1962
